timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683250403723,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,4
1683250403728,5,vr,200,OK,Thread Group 1-8,text,true,,13617,123,2,2,http://localhost:3000/vr.html,5,0,1
1683250403730,3,vr,200,OK,Thread Group 1-9,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403733,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403734,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-9,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403737,4,vr,200,OK,Thread Group 1-8,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403737,4,vr,200,OK,Thread Group 1-9,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403741,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-9,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403741,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,4
1683250403746,3,vr,200,OK,Thread Group 1-9,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403746,4,vr,200,OK,Thread Group 1-8,text,true,,13617,123,2,2,http://localhost:3000/vr.html,4,0,1
1683250403749,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-9,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403750,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403753,3,vr,200,OK,Thread Group 1-9,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,1
1683250403756,4,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-9,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,4
